Name	Description	GFP.1	GFP.2	GFP.3	GFP.4	FL.1	FL.2	FL.3	FL.4	dE18.1	dE18.2	dE18.3	dE18.4	FL.Bicc1.1	FL.Bicc1.2	FL.Bicc1.3	FL.Bicc1.4	dE18.Bicc1.1	dE18.Bicc1.2	dE18.Bicc1.3	dE18.Bicc1.4
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	1351.620587	1354.217281	1006.469137	1166.128067	1187.813996	1340.680324	848.1304489	1362.930755	854.0551567	789.3775012	830.9648823	857.7513065	1247.96005	1071.04868	1096.408643	906.4154758	1133.008318	960.2238465	1128.081728	957.8166299
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	-443.604491	-600.1587266	-604.4039971	-531.4537382	634.394567	54.27609205	357.4300234	448.9338232	111.4676799	41.40344104	339.2094853	108.7655285	982.865843	988.0276924	983.6266805	1047.762904	819.8602425	806.185177	999.6472238	966.2485673
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	-194.0831295	-299.860316	-248.4588705	-68.25772028	-342.8010858	-674.1422522	-509.6327722	-315.0992024	65.32217035	33.68478922	732.6719371	42.75403905	-111.4383718	-369.0259626	-511.9809202	-430.7482156	21.11783225	-40.803236	-256.6949042	671.3228461
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	-2001.267702	-2079.566804	-2004.234089	-2063.106929	-228.4165212	-1397.582852	-1264.391627	-496.0652123	132.0222234	241.013338	314.8854	301.8331294	-359.5167143	-251.4851787	-273.7101688	-38.022335	376.9949427	238.7077877	306.9877319	-717.6752825
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	545.3874949	131.6574601	313.1384287	441.2838798	224.1957577	278.5626482	328.9481596	293.3122158	43.31436343	287.3501011	-144.5125513	-117.9805196	149.7016738	90.02836192	100.8282825	142.347952	226.4885517	198.2484675	225.055415	207.6656566
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	1171.499447	-463.784157	-410.9058784	1036.674049	952.2814259	1117.927267	1463.6153	1106.087256	-1123.966733	-1223.164103	-487.3336624	-521.2350032	-696.3368095	-666.4498528	-714.4024628	556.9890126	-1193.731397	-1233.34803	-1262.044418	-1235.326093
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	-335.8053314	-498.9707287	-213.6640256	-364.4829408	242.3494396	-294.340582	-186.0042711	134.6637545	319.3481599	15.89556316	262.10225	221.5934265	250.1720817	224.8909297	387.6223604	297.9177484	206.0813076	786.8402922	167.9502399	283.3982488
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	-605.5061255	293.817936	-123.4889495	-730.2430177	-777.3123651	-503.0890281	-164.2843964	-472.1427717	-416.8425746	-902.8361238	-666.0688269	-141.6410114	-505.8664354	-767.386548	-720.3250409	-148.9368685	-617.5008654	-854.2945122	-475.968015	-856.0293394
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-542.5214189	-646.7530982	375.9224157	49.9090462	-484.7489921	-452.8358515	-210.0181475	-203.8065261	609.506106	601.1943552	640.4492775	652.3424431	494.8513891	555.8366731	519.4150295	186.5218598	748.2535303	1162.02759	1087.981814	1188.896308
HALLMARK_COAGULATION	HALLMARK_COAGULATION	-162.0626409	-800.0147089	-638.3537962	-703.4347081	-254.9575888	-390.1552108	-318.3343457	356.8759928	90.43176464	-197.0435234	359.6128258	142.5725113	-507.7768911	-359.0228843	68.20405454	-65.57052513	173.6334488	-361.2689296	-413.7870322	-249.4539705
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	5.039822187	-380.9364027	-258.3332232	-294.1421378	-58.82325029	-255.7034849	-199.3499564	114.2916768	-152.51684	156.9335042	112.3962302	210.2739295	227.6758424	-8.852108432	147.8928629	209.748186	431.5873352	-12.35313004	463.0450381	211.278938
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	588.7187813	563.1744762	739.6630503	675.9784581	418.0649324	607.5354921	767.6186962	811.0860043	843.3747579	580.0502717	420.097707	816.5016659	549.0691866	967.5932037	557.508718	784.9630015	374.5296558	296.6878952	649.1966927	691.4862655
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	824.8912313	858.7299436	735.627091	1028.452723	65.50806166	227.4105123	171.1609423	23.16431137	148.5270108	19.82492118	97.47458468	-65.38745228	217.5026738	162.2420382	1.490932453	112.5382447	-161.2587986	-359.2328049	-283.5309477	-182.3929829
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-433.3045277	-722.3660797	-546.4375973	-416.7910353	-205.5702267	-495.7021512	-139.5140134	314.0726397	727.4352408	676.642106	811.7656562	585.9302306	291.7773811	90.14866133	104.120635	345.81555	320.7256545	465.3478733	711.6131557	785.6350844
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	7.179570689	-200.3508965	-34.64862494	-168.8928047	-305.0272655	-174.9807418	-357.7130434	37.25414058	-2.823639627	518.5083279	338.2814007	7.163716522	-214.8297062	12.13519281	195.2666807	-74.49978102	-102.5794288	70.44573045	332.0332408	352.105654
