"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P18653","p90RSK","Rps6ka1","19","0.427","0.106","4.012","0.0000603","0.00790"
"P18654","RSK2","Rps6ka3","5","0.544","0.144","3.788","0.000152","0.00993"
"Q2NL51","GSK3A","Gsk3a","7","0.582","0.175","3.324","0.000888","0.0307"
"Q9Z1M4","P70S6KB","Rps6kb2","2","0.474","0.145","3.278","0.00105","0.0307"
"Q63844","ERK1","Mapk3","44","0.223","0.07","3.162","0.00157","0.0307"
"Q60823","Akt2","Akt2","9","0.352","0.112","3.155","0.00161","0.0307"
"Q64261","CDK6","Cdk6","5","0.381","0.121","3.149","0.00164","0.0307"
"Q8R3L8","CDK8","Cdk8","2","0.256","0.083","3.072","0.00212","0.0348"
"P11798","CAMK2A","Camk2a","6","0.438","0.152","2.885","0.00392","0.0570"
"P49615","CDK5","Cdk5","13","0.373","0.133","2.812","0.00493","0.0645"
"Q01279","EGFR","Egfr","4","-0.51","0.189","-2.695","0.00703","0.0837"
"Q9WUI1","P38B","Mapk11","4","0.282","0.106","2.659","0.00783","0.0850"
"P63085","ERK2","Mapk1","74","0.177","0.067","2.634","0.00844","0.0850"
"O54949","NLK","Nlk","1","0.236","0.092","2.552","0.0107","0.0935"
"Q62406","IRAK1","Irak1","1","0.236","0.092","2.552","0.0107","0.0935"
"Q923T9","CAMK2G","Camk2g","1","0.276","0.116","2.384","0.0171","0.132"
"Q9R0T8","IKKE","Ikbke","1","0.276","0.116","2.384","0.0171","0.132"
"Q60680","IKKA","Chuk","2","-1.169","0.517","-2.261","0.0238","0.173"
"Q60737","CK2A1","Csnk2a1","51","0.228","0.11","2.065","0.0389","0.268"
"Q9WUA6","Akt3","Akt3","4","0.216","0.113","1.923","0.0545","0.357"
"Q8CIN4","PAK2","Pak2","8","0.259","0.137","1.892","0.0586","0.365"
"P11440","CDK1","Cdk1","45","0.159","0.085","1.865","0.0622","0.371"
"P47811","P38A","Mapk14","22","0.17","0.092","1.843","0.0654","0.372"
