"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q9Z1M4","P70S6KB","Rps6kb2","2","0.501","0.145","3.465","0.000530","0.0461"
"Q8C015","PAK5","Pak7","1","0.283","0.084","3.392","0.000693","0.0461"
"P15208","INSR","Insr","2","-0.48","0.159","-3.016","0.00256","0.0744"
"P18654","RSK2","Rps6ka3","7","0.345","0.117","2.949","0.00319","0.0744"
"Q3UMW7","MAPKAPK3","Mapkapk3","1","1.015","0.347","2.926","0.00343","0.0744"
"P16879","Fes","Fes","1","1.008","0.348","2.896","0.00378","0.0744"
"Q9JKK8","ATR","Atr","3","-1.234","0.428","-2.885","0.00391","0.0744"
"Q61036","PAK3","Pak3","1","1.435","0.509","2.816","0.00486","0.0807"
"P63085","ERK2","Mapk1","73","0.187","0.068","2.76","0.00579","0.0818"
"Q63844","ERK1","Mapk3","44","0.193","0.071","2.738","0.00618","0.0818"
"Q8R3L8","CDK8","Cdk8","2","0.222","0.083","2.671","0.00757","0.0818"
"Q62388","ATM","Atm","3","-1.339","0.504","-2.656","0.00790","0.0818"
"Q02111","PKCT","Prkcq","3","0.552","0.208","2.652","0.00799","0.0818"
"Q8C050","MSK1","Rps6ka5","10","0.235","0.093","2.521","0.0117","0.111"
"Q99N57","RAF1","Raf1","2","0.261","0.11","2.367","0.0179","0.159"
"Q9JLN9","mTOR","Mtor","32","0.216","0.094","2.305","0.0211","0.165"
"Q923T9","CAMK2G","Camk2g","1","0.264","0.116","2.284","0.0224","0.165"
"Q9R0T8","IKKE","Ikbke","1","0.264","0.116","2.284","0.0224","0.165"
"Q9WUI1","P38B","Mapk11","4","0.236","0.106","2.224","0.0261","0.183"
"Q61214","DYRK1A","Dyrk1a","3","-0.642","0.301","-2.136","0.0327","0.211"
"P49138","MAPKAPK2","Mapkapk2","5","0.37","0.174","2.128","0.0333","0.211"
"O08911","P38G","Mapk12","2","-0.353","0.172","-2.052","0.0402","0.243"
"O54949","NLK","Nlk","1","0.18","0.092","1.954","0.0507","0.281"
"Q62406","IRAK1","Irak1","1","0.18","0.092","1.954","0.0507","0.281"
"Q01279","EGFR","Egfr","3","-0.447","0.235","-1.904","0.0570","0.303"
"Q8BSK8","p70S6K","Rps6kb1","12","0.197","0.108","1.834","0.0667","0.341"
"P28867","PKCD","Prkcd","12","0.147","0.082","1.804","0.0712","0.351"
"Q60823","Akt2","Akt2","8","0.203","0.114","1.781","0.0749","0.355"
"P49615","CDK5","Cdk5","13","0.235","0.133","1.766","0.0775","0.355"
