"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q9Z1M4","P70S6KB","Rps6kb2","2","1.341","0.145","9.271","1.84e-20","2.39e-18"
"P18653","p90RSK","Rps6ka1","19","0.819","0.103","7.968","1.61e-15","1.05e-13"
"Q8C015","PAK5","Pak7","1","0.653","0.084","7.813","5.59e-15","2.42e-13"
"P58750","Pim3","Pim3","2","0.499","0.075","6.677","2.44e-11","6.34e-10"
"P68181","PKACB","Prkacb","2","0.499","0.075","6.677","2.44e-11","6.34e-10"
"Q8BSK8","p70S6K","Rps6kb1","10","0.678","0.111","6.086","1.16e-9","2.51e-8"
"P16879","Fes","Fes","1","2.017","0.348","5.8","6.63e-9","1.23e-7"
"Q8CIN4","PAK2","Pak2","6","0.808","0.14","5.765","8.17e-9","1.33e-7"
"Q99N57","RAF1","Raf1","2","0.606","0.11","5.503","3.74e-8","5.28e-7"
"Q02111","PKCT","Prkcq","3","1.15","0.21","5.488","4.06e-8","5.28e-7"
"P06803","Pim1","Pim1","3","0.447","0.085","5.237","1.63e-7","0.00000193"
"Q60737","CK2A1","Csnk2a1","55","0.535","0.107","5.01","5.45e-7","0.00000590"
"Q8C050","MSK1","Rps6ka5","9","0.474","0.095","4.976","6.51e-7","0.00000651"
"P31750","Akt1","Akt1","23","0.414","0.086","4.82","0.00000144","0.0000134"
"Q63844","ERK1","Mapk3","42","0.338","0.071","4.785","0.00000171","0.0000148"
"P18654","RSK2","Rps6ka3","6","0.59","0.124","4.752","0.00000201","0.0000164"
"P63085","ERK2","Mapk1","73","0.311","0.068","4.59","0.00000442","0.0000338"
"Q9JLN9","mTOR","Mtor","32","0.405","0.095","4.242","0.0000222","0.000160"
"P39688","Fyn","Fyn","7","0.615","0.146","4.217","0.0000247","0.000169"
"Q01279","EGFR","Egfr","5","0.798","0.194","4.109","0.0000398","0.000259"
"Q91Y86","JNK1","Mapk8","8","0.371","0.097","3.824","0.000131","0.000811"
"P23298","PKCH","Prkch","1","0.359","0.095","3.799","0.000145","0.000859"
"P28867","PKCD","Prkcd","15","0.308","0.086","3.594","0.000326","0.00171"
"P06240","Lck","Lck","2","0.483","0.134","3.593","0.000327","0.00171"
"Q8R3L8","CDK8","Cdk8","2","0.298","0.083","3.579","0.000344","0.00171"
"O54949","NLK","Nlk","1","0.33","0.092","3.571","0.000355","0.00171"
"Q62406","IRAK1","Irak1","1","0.33","0.092","3.571","0.000355","0.00171"
"Q2NL51","GSK3A","Gsk3a","7","0.62","0.175","3.54","0.000400","0.00186"
"Q9JKK8","ATR","Atr","3","-1.46","0.428","-3.413","0.000644","0.00289"
"Q9WUA6","Akt3","Akt3","4","0.376","0.113","3.338","0.000842","0.00365"
"Q62388","ATM","Atm","3","-1.646","0.504","-3.266","0.00109","0.00458"
"P43404","ZAP70","Zap70","3","0.411","0.128","3.208","0.00134","0.00511"
"P48025","Syk","Syk","3","0.411","0.128","3.208","0.00134","0.00511"
"Q00342","FLT3","Flt3","3","0.411","0.128","3.208","0.00134","0.00511"
"P31938","MEK1","Map2k1","2","0.642","0.205","3.139","0.00170","0.00630"
"P00536","MOS","Mos","1","0.559","0.19","2.946","0.00322","0.0111"
"Q07174","Cot","Map3k8","1","0.559","0.19","2.946","0.00322","0.0111"
"O70126","AurB","Aurkb","5","0.484","0.165","2.944","0.00324","0.0111"
"Q9WUI1","P38B","Mapk11","4","0.31","0.106","2.916","0.00355","0.0116"
"P05480","Src iso1","Src","16","0.472","0.162","2.914","0.00357","0.0116"
"P70335","ROCK1","Rock1","6","0.401","0.139","2.887","0.00389","0.0123"
"P53349","MEKK1","Map3k1","3","0.328","0.119","2.759","0.00579","0.0179"
"Q60823","Akt2","Akt2","7","0.313","0.116","2.684","0.00728","0.0220"
"P35546","Ret","Ret","1","0.565","0.211","2.675","0.00748","0.0221"
"Q9WTU6","JNK2","Mapk9","7","0.248","0.096","2.594","0.00950","0.0274"
"P15208","INSR","Insr","2","0.41","0.159","2.581","0.00985","0.0278"
"Q62101","PRKD1","Prkd1","3","0.474","0.186","2.553","0.0107","0.0296"
"P11440","CDK1","Cdk1","45","0.218","0.086","2.533","0.0113","0.0306"
"Q923T9","CAMK2G","Camk2g","1","0.266","0.116","2.3","0.0214","0.0547"
"Q9R0T8","IKKE","Ikbke","1","0.266","0.116","2.3","0.0214","0.0547"
"O08911","P38G","Mapk12","2","-0.395","0.172","-2.3","0.0214","0.0547"
"Q61831","JNK3","Mapk10","4","0.262","0.115","2.271","0.0231","0.0578"
"P63318","PKCG","Prkcg","2","0.835","0.375","2.224","0.0261","0.0641"
"Q9Z2A0","PDK1","Pdpk1","8","0.314","0.142","2.206","0.0274","0.0659"
"Q62074","PKCI","Prkci","3","0.399","0.184","2.168","0.0302","0.0713"
"O88643","PAK1","Pak1","11","0.206","0.1","2.053","0.0400","0.0929"
"P16054","PKCE","Prkce","9","0.28","0.14","1.992","0.0464","0.106"
"Q8BRK8","AMPKA2","Prkaa2","3","0.455","0.231","1.969","0.0490","0.110"
"Q9WV60","GSK3B","Gsk3b","12","0.247","0.126","1.952","0.0510","0.112"
"P47810","Wee1","Wee1","1","0.397","0.212","1.874","0.0609","0.128"
"P70424","HER2","Erbb2","1","0.397","0.212","1.874","0.0609","0.128"
"Q66JT0","WEE1B","Wee2","1","0.397","0.212","1.874","0.0609","0.128"
"P49138","MAPKAPK2","Mapkapk2","4","0.351","0.192","1.825","0.0680","0.140"
