"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P39688","Fyn","Fyn","7","1.231","0.147","8.378","5.40e-17","6.86e-15"
"Q62120","JAK2","Jak2","1","1.615","0.264","6.122","9.22e-10","3.90e-8"
"Q64434","Brk","Ptk6","1","1.615","0.264","6.122","9.22e-10","3.90e-8"
"P15208","INSR","Insr","3","0.792","0.144","5.502","3.76e-8","0.00000119"
"P05480","Src iso1","Src","13","0.934","0.172","5.42","5.95e-8","0.00000151"
"Q01279","EGFR","Egfr","2","1.139","0.226","5.049","4.44e-7","0.00000940"
"Q9WUI1","P38B","Mapk11","4","0.497","0.106","4.694","0.00000268","0.0000485"
"Q8R3L8","CDK8","Cdk8","2","0.303","0.083","3.664","0.000248","0.00380"
"Q63844","ERK1","Mapk3","49","0.252","0.069","3.643","0.000270","0.00380"
"Q64261","CDK6","Cdk6","4","0.392","0.116","3.367","0.000761","0.00794"
"Q923T9","CAMK2G","Camk2g","1","0.383","0.115","3.322","0.000894","0.00794"
"Q9R0T8","IKKE","Ikbke","1","0.383","0.115","3.322","0.000894","0.00794"
"P43404","ZAP70","Zap70","3","0.427","0.129","3.309","0.000937","0.00794"
"P48025","Syk","Syk","3","0.427","0.129","3.309","0.000937","0.00794"
"Q00342","FLT3","Flt3","3","0.427","0.129","3.309","0.000937","0.00794"
"Q9Z2A0","PDK1","Pdpk1","8","0.42","0.142","2.952","0.00315","0.0250"
"P63085","ERK2","Mapk1","80","0.175","0.066","2.651","0.00803","0.0600"
"Q9WV60","GSK3B","Gsk3b","14","0.307","0.12","2.565","0.0103","0.0727"
"O54949","NLK","Nlk","1","0.224","0.092","2.434","0.0149","0.0881"
"Q62406","IRAK1","Irak1","1","0.224","0.092","2.434","0.0149","0.0881"
"Q9Z1M4","P70S6KB","Rps6kb2","2","0.352","0.145","2.434","0.0149","0.0881"
"P49138","MAPKAPK2","Mapkapk2","4","0.466","0.192","2.426","0.0153","0.0881"
"P49615","CDK5","Cdk5","12","0.332","0.14","2.373","0.0176","0.0974"
"P18653","p90RSK","Rps6ka1","18","0.246","0.108","2.286","0.0223","0.118"
"P47811","P38A","Mapk14","23","0.203","0.092","2.201","0.0278","0.141"
"Q9WUA6","Akt3","Akt3","4","0.229","0.112","2.038","0.0415","0.203"
"P23298","PKCH","Prkch","1","0.19","0.094","2.012","0.0442","0.208"
"Q5U4C9","DYRK2","Dyrk2","5","0.408","0.208","1.963","0.0497","0.225"
"P06240","Lck","Lck","2","0.241","0.134","1.797","0.0723","0.317"
"Q07832","PLK1","Plk1","7","-0.322","0.185","-1.745","0.0809","0.343"
"P18654","RSK2","Rps6ka3","5","0.238","0.144","1.655","0.0980","0.402"
"Q8BRK8","AMPKA2","Prkaa2","3","0.377","0.231","1.634","0.102","0.406"
"P58750","Pim3","Pim3","1","0.153","0.096","1.6","0.110","0.409"
"P68181","PKACB","Prkacb","1","0.153","0.096","1.6","0.110","0.409"
"P06803","Pim1","Pim1","2","0.168","0.108","1.551","0.121","0.439"
"Q60823","Akt2","Akt2","9","0.165","0.111","1.481","0.139","0.452"
"P00536","MOS","Mos","1","0.278","0.19","1.468","0.142","0.452"
"Q07174","Cot","Map3k8","1","0.278","0.19","1.468","0.142","0.452"
"Q99N57","RAF1","Raf1","1","0.278","0.19","1.468","0.142","0.452"
"Q8C050","MSK1","Rps6ka5","8","0.151","0.103","1.466","0.143","0.452"
"P53349","MEKK1","Map3k1","3","0.163","0.119","1.378","0.168","0.521"
"Q9JLN9","mTOR","Mtor","31","0.127","0.095","1.339","0.181","0.538"
"Q62101","PRKD1","Prkd1","2","0.36","0.27","1.334","0.182","0.538"
"P08414","CAMK4","Camk4","1","-0.352","0.268","-1.315","0.188","0.544"
"Q8VEB1","GRK5","Grk5","1","0.587","0.453","1.295","0.195","0.551"
