"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P39688","Fyn","Fyn","5","1.014","0.184","5.513","3.54e-8","0.00000467"
"P05480","Src iso1","Src","11","0.911","0.207","4.407","0.0000105","0.000691"
"P52332","JAK1","Jak1","1","2.286","0.546","4.184","0.0000287","0.000756"
"Q62120","JAK2","Jak2","1","2.286","0.546","4.184","0.0000287","0.000756"
"Q9R117","Tyk2","Tyk2","1","2.286","0.546","4.184","0.0000287","0.000756"
"Q3UMW7","MAPKAPK3","Mapkapk3","1","1.336","0.347","3.848","0.000119","0.00262"
"P16879","Fes","Fes","1","1.325","0.348","3.807","0.000140","0.00265"
"Q61036","PAK3","Pak3","1","1.352","0.362","3.736","0.000187","0.00308"
"Q9WUI1","P38B","Mapk11","4","0.355","0.106","3.347","0.000818","0.0120"
"P49615","CDK5","Cdk5","13","0.426","0.133","3.206","0.00134","0.0178"
"Q8R3L8","CDK8","Cdk8","2","0.234","0.083","2.803","0.00506","0.0607"
"Q61214","DYRK1A","Dyrk1a","4","-0.715","0.269","-2.659","0.00783","0.0785"
"Q923T9","CAMK2G","Camk2g","1","0.303","0.116","2.619","0.00882","0.0785"
"Q9R0T8","IKKE","Ikbke","1","0.303","0.116","2.619","0.00882","0.0785"
"P49138","MAPKAPK2","Mapkapk2","4","0.546","0.209","2.615","0.00892","0.0785"
"Q9Z1M4","P70S6KB","Rps6kb2","2","0.366","0.145","2.523","0.0116","0.0960"
"Q8BSK8","p70S6K","Rps6kb1","12","0.242","0.107","2.256","0.0241","0.171"
"P58750","Pim3","Pim3","1","0.186","0.084","2.223","0.0262","0.171"
"P68181","PKACB","Prkacb","1","0.186","0.084","2.223","0.0262","0.171"
"Q8C015","PAK5","Pak7","1","0.186","0.084","2.223","0.0262","0.171"
"P31750","Akt1","Akt1","22","0.194","0.088","2.194","0.0283","0.171"
"P18653","p90RSK","Rps6ka1","17","0.239","0.109","2.19","0.0286","0.171"
"Q63844","ERK1","Mapk3","44","0.15","0.071","2.118","0.0342","0.196"
"P30285","CDK4","Cdk4","5","-0.423","0.207","-2.044","0.0410","0.225"
"Q9WV60","GSK3B","Gsk3b","14","0.23","0.12","1.915","0.0556","0.293"
"Q99N57","RAF1","Raf1","2","0.206","0.112","1.834","0.0666","0.331"
"O54949","NLK","Nlk","1","0.165","0.093","1.771","0.0765","0.331"
"Q62406","IRAK1","Irak1","1","0.165","0.093","1.771","0.0765","0.331"
"P06803","Pim1","Pim1","2","0.186","0.105","1.769","0.0769","0.331"
"P63085","ERK2","Mapk1","77","0.118","0.067","1.762","0.0781","0.331"
"O08911","P38G","Mapk12","2","-0.287","0.164","-1.75","0.0801","0.331"
"P70336","ROCK2","Rock2","3","0.234","0.134","1.749","0.0802","0.331"
"Q5U4C9","DYRK2","Dyrk2","5","0.348","0.208","1.675","0.0939","0.376"
"P53349","MEKK1","Map3k1","2","0.195","0.118","1.655","0.0978","0.380"
"P23298","PKCH","Prkch","1","0.154","0.094","1.634","0.102","0.386"
"Q9WUA6","Akt3","Akt3","3","0.223","0.14","1.593","0.111","0.407"
"Q9JLN9","mTOR","Mtor","31","0.146","0.093","1.57","0.117","0.416"
"Q8CIN4","PAK2","Pak2","6","0.218","0.14","1.555","0.120","0.417"
"Q01279","EGFR","Egfr","1","0.556","0.361","1.538","0.124","0.420"
"P68404","PKCB iso2","Prkcb","9","-0.154","0.108","-1.426","0.154","0.470"
"Q5EG47","AMPKA1","Prkaa1","9","0.208","0.148","1.409","0.159","0.470"
"P15208","INSR","Insr","2","0.228","0.163","1.402","0.161","0.470"
"Q60823","Akt2","Akt2","7","0.177","0.126","1.401","0.161","0.470"
"P70335","ROCK1","Rock1","7","0.174","0.125","1.397","0.162","0.470"
"Q91Y86","JNK1","Mapk8","8","0.135","0.097","1.395","0.163","0.470"
"Q60680","IKKA","Chuk","2","-0.498","0.357","-1.393","0.164","0.470"
"Q8BRK8","AMPKA2","Prkaa2","3","0.312","0.231","1.352","0.176","0.496"
"Q8C050","MSK1","Rps6ka5","10","0.124","0.093","1.323","0.186","0.511"
"P20444","PKCA","Prkca","23","0.153","0.118","1.303","0.193","0.519"
"P63318","PKCG","Prkcg","2","0.473","0.375","1.26","0.208","0.543"
"P06240","Lck","Lck","2","0.172","0.137","1.254","0.210","0.543"
"P47811","P38A","Mapk14","21","0.114","0.093","1.224","0.221","0.560"
"P08414","CAMK4","Camk4","1","-0.319","0.268","-1.191","0.234","0.578"
"Q07832","PLK1","Plk1","7","-0.219","0.185","-1.184","0.236","0.578"
"P00536","MOS","Mos","1","0.226","0.194","1.161","0.246","0.579"
"Q07174","Cot","Map3k8","1","0.226","0.194","1.161","0.246","0.579"
"Q9WVS8","ERK5","Mapk7","1","0.265","0.258","1.026","0.305","0.706"
"P28867","PKCD","Prkcd","15","0.08","0.079","1.015","0.310","0.706"
"P97377","CDK2","Cdk2","25","-0.101","0.105","-0.966","0.334","0.707"
"Q4JIM5","Arg","Abl2","1","0.489","0.509","0.96","0.337","0.707"
"P35546","Ret","Ret","1","0.2","0.211","0.949","0.343","0.707"
"P31938","MEK1","Map2k1","3","0.172","0.181","0.948","0.343","0.707"
"Q60737","CK2A1","Csnk2a1","54","0.099","0.107","0.927","0.354","0.707"
"P43404","ZAP70","Zap70","1","0.144","0.157","0.918","0.359","0.707"
"P48025","Syk","Syk","1","0.144","0.157","0.918","0.359","0.707"
"Q00342","FLT3","Flt3","1","0.144","0.157","0.918","0.359","0.707"
"Q8VEB1","GRK5","Grk5","1","0.416","0.453","0.918","0.359","0.707"
"O88351","IKKB","Ikbkb","2","0.325","0.363","0.897","0.370","0.718"
"Q6PHZ2","CAMK2D","Camk2d","1","0.298","0.346","0.861","0.390","0.739"
"Q62101","PRKD1","Prkd1","2","0.23","0.269","0.856","0.392","0.739"
"Q9Z0H0","CDC7","Cdc7","4","-0.172","0.206","-0.836","0.403","0.748"
"Q9Z2A0","PDK1","Pdpk1","6","0.131","0.158","0.828","0.408","0.748"
"Q8BG48","DRAK2","Stk17b","1","0.409","0.517","0.791","0.429","0.766"
"Q8CFH6","QIK","Sik2","1","0.419","0.532","0.788","0.431","0.766"
"P14234","FGR","Fgr","1","0.212","0.275","0.77","0.441","0.766"
"P41241","CSK","Csk","1","0.212","0.275","0.77","0.441","0.766"
"Q03145","EphA2","Epha2","2","0.248","0.326","0.76","0.447","0.766"
"P11798","CAMK2A","Camk2a","6","0.109","0.152","0.718","0.473","0.800"
"Q2NL51","GSK3A","Gsk3a","7","0.119","0.175","0.679","0.497","0.830"
"Q62388","ATM","Atm","2","-0.379","0.606","-0.625","0.532","0.878"
"Q03147","CDK7","Cdk7","7","-0.11","0.182","-0.603","0.546","0.890"
"Q9JKK8","ATR","Atr","2","-0.27","0.459","-0.589","0.556","0.895"
"P18654","RSK2","Rps6ka3","6","0.073","0.13","0.564","0.573","0.911"
"P00520","Abl","Abl1","3","0.152","0.275","0.552","0.581","0.913"
"Q62074","PKCI","Prkci","2","0.137","0.266","0.516","0.606","0.940"
"Q9WUN2","TBK1","Tbk1","2","0.121","0.264","0.457","0.648","0.985"
"O08605","Mnk1","Mknk1","1","0.155","0.348","0.445","0.657","0.985"
"O54992","MAPKAPK5","Mapkapk5","1","0.155","0.348","0.445","0.657","0.985"
"Q91VJ4","NDR1","Stk38","2","0.155","0.371","0.418","0.676","0.989"
"P11440","CDK1","Cdk1","43","-0.036","0.089","-0.408","0.683","0.989"
"Q61083","MEKK2","Map3k2","1","-0.1","0.249","-0.4","0.689","0.989"
"Q9WVC6","SGK1","Sgk1","4","0.082","0.235","0.349","0.727","0.989"
"Q61846","MELK","Melk","2","-0.124","0.368","-0.338","0.736","0.989"
"P70268","PKN1","Pkn1","4","-0.04","0.13","-0.31","0.756","0.989"
"Q9Z1W9","STLK3","Stk39","1","-0.16","0.52","-0.308","0.758","0.989"
"Q9QZR5","HIPK2","Hipk2","4","0.059","0.195","0.302","0.763","0.989"
"Q60670","SIK","Sik1","2","0.12","0.397","0.301","0.763","0.989"
"O70126","AurB","Aurkb","5","0.049","0.165","0.3","0.764","0.989"
"O54784","DAPK3","Dapk3","3","-0.059","0.202","-0.294","0.769","0.989"
"Q9WTU6","JNK2","Mapk9","7","0.027","0.094","0.29","0.772","0.989"
"P34152","FAK iso2","Ptk2","3","0.05","0.181","0.278","0.781","0.989"
"O55222","ILK","Ilk","3","0.041","0.156","0.264","0.792","0.989"
"P47810","Wee1","Wee1","1","-0.046","0.212","-0.219","0.827","0.989"
"P70424","HER2","Erbb2","1","-0.046","0.212","-0.219","0.827","0.989"
"Q66JT0","WEE1B","Wee2","1","-0.046","0.212","-0.219","0.827","0.989"
"Q99MK8","GRK2","Adrbk1","3","0.103","0.479","0.216","0.829","0.989"
"P67871","CK2B","Csnk2b","2","0.052","0.247","0.212","0.832","0.989"
"Q8BK63","CK1A","Csnk1a1","2","-0.067","0.316","-0.212","0.832","0.989"
"Q02111","PKCT","Prkcq","4","-0.032","0.165","-0.195","0.845","0.989"
"Q9Z188","DYRK1B","Dyrk1b","1","0.029","0.156","0.184","0.854","0.989"
"Q8BTW9","PAK4","Pak4","3","-0.045","0.27","-0.165","0.869","0.989"
"Q6ZQ29","TAO2","Taok2","1","-0.087","0.552","-0.158","0.874","0.989"
"Q80YE7","DAPK1","Dapk1","2","0.022","0.14","0.156","0.876","0.989"
"Q9JMK2","CK1E","Csnk1e","1","0.053","0.346","0.152","0.879","0.989"
"Q02956","PKCZ","Prkcz","5","-0.017","0.114","-0.15","0.881","0.989"
"Q61831","JNK3","Mapk10","4","-0.016","0.111","-0.143","0.886","0.989"
"O55098","LOK","Stk10","1","0.03","0.235","0.128","0.898","0.989"
"O70405","ULK1","Ulk1","1","0.125","1","0.125","0.900","0.989"
"Q8VHJ5","MARK1","Mark1","3","-0.039","0.341","-0.115","0.908","0.989"
"O88643","PAK1","Pak1","10","0.012","0.108","0.113","0.910","0.989"
"P97477","AurA","Aurka","1","-0.024","0.259","-0.092","0.927","0.989"
"Q60700","DLK","Map3k12","1","0.017","0.186","0.091","0.928","0.989"
"P0C605","PKG1 iso2","Prkg1","1","-0.045","0.523","-0.085","0.932","0.989"
"Q61410","PKG2","Prkg2","1","-0.045","0.523","-0.085","0.932","0.989"
"Q8C0P0","MASTL","Mastl","1","-0.04","0.537","-0.075","0.940","0.989"
"Q64261","CDK6","Cdk6","3","0.008","0.131","0.062","0.950","0.989"
"Q05512","MARK2","Mark2","1","-0.061","1","-0.061","0.951","0.989"
"Q8BYR2","LATS1","Lats1","1","0.022","0.52","0.042","0.967","0.991"
"Q923J1","ChaK1","Trpm7","1","-0.02","0.553","-0.035","0.972","0.991"
"P05132","PKACA","Prkaca","52","-0.002","0.083","-0.021","0.983","0.991"
"Q99KH8","MST3","Stk24","1","-0.006","0.517","-0.012","0.990","0.991"
"P16054","PKCE","Prkce","9","0.002","0.142","0.011","0.991","0.991"
