"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P39688","Fyn","Fyn","7","1.344","0.147","9.153","5.52e-20","7.00e-18"
"Q01279","EGFR","Egfr","3","1.679","0.235","7.137","9.54e-13","6.06e-11"
"P05480","Src iso1","Src","13","1.116","0.161","6.951","3.62e-12","1.53e-10"
"P15208","INSR","Insr","2","0.984","0.16","6.157","7.41e-10","2.35e-8"
"P16879","Fes","Fes","1","1.838","0.348","5.286","1.25e-7","0.00000318"
"P18653","p90RSK","Rps6ka1","18","0.438","0.107","4.077","0.0000456","0.000964"
"Q9WUI1","P38B","Mapk11","4","0.411","0.106","3.875","0.000107","0.00193"
"Q9Z1M4","P70S6KB","Rps6kb2","2","0.527","0.145","3.635","0.000278","0.00442"
"Q60737","CK2A1","Csnk2a1","56","0.374","0.105","3.548","0.000388","0.00445"
"P58750","Pim3","Pim3","1","0.294","0.083","3.527","0.000421","0.00445"
"P68181","PKACB","Prkacb","1","0.294","0.083","3.527","0.000421","0.00445"
"Q8C015","PAK5","Pak7","1","0.294","0.083","3.527","0.000421","0.00445"
"P43404","ZAP70","Zap70","3","0.446","0.129","3.464","0.000532","0.00450"
"P48025","Syk","Syk","3","0.446","0.129","3.464","0.000532","0.00450"
"Q00342","FLT3","Flt3","3","0.446","0.129","3.464","0.000532","0.00450"
"Q8BSK8","p70S6K","Rps6kb1","10","0.344","0.111","3.098","0.00195","0.0154"
"Q99N57","RAF1","Raf1","2","0.338","0.11","3.073","0.00212","0.0158"
"Q8CIN4","PAK2","Pak2","6","0.41","0.14","2.927","0.00342","0.0237"
"Q63844","ERK1","Mapk3","45","0.205","0.07","2.916","0.00354","0.0237"
"P49138","MAPKAPK2","Mapkapk2","4","0.527","0.192","2.739","0.00616","0.0391"
"Q8R3L8","CDK8","Cdk8","2","0.225","0.083","2.715","0.00662","0.0397"
"P63318","PKCG","Prkcg","2","1.015","0.375","2.703","0.00687","0.0397"
"Q91Y86","JNK1","Mapk8","8","0.258","0.097","2.666","0.00769","0.0424"
"P31750","Akt1","Akt1","21","0.233","0.089","2.608","0.00910","0.0482"
"O08911","P38G","Mapk12","2","-0.417","0.164","-2.547","0.0109","0.0552"
"P06240","Lck","Lck","2","0.334","0.134","2.486","0.0129","0.0622"
"P23298","PKCH","Prkch","1","0.234","0.094","2.477","0.0132","0.0622"
"P06803","Pim1","Pim1","2","0.244","0.105","2.321","0.0203","0.0921"
"Q923T9","CAMK2G","Camk2g","1","0.258","0.115","2.24","0.0251","0.106"
"Q9R0T8","IKKE","Ikbke","1","0.258","0.115","2.24","0.0251","0.106"
"O54949","NLK","Nlk","1","0.192","0.092","2.086","0.0370","0.147"
"Q62406","IRAK1","Irak1","1","0.192","0.092","2.086","0.0370","0.147"
"P63085","ERK2","Mapk1","76","0.138","0.067","2.057","0.0396","0.153"
"P70335","ROCK1","Rock1","6","0.283","0.139","2.04","0.0414","0.155"
"P00536","MOS","Mos","1","0.382","0.19","2.013","0.0441","0.156"
"Q07174","Cot","Map3k8","1","0.382","0.19","2.013","0.0441","0.156"
"Q60823","Akt2","Akt2","7","0.248","0.126","1.961","0.0499","0.171"
"P18654","RSK2","Rps6ka3","7","0.229","0.117","1.947","0.0516","0.172"
"Q9WUA6","Akt3","Akt3","3","0.271","0.14","1.936","0.0529","0.172"
"Q07832","PLK1","Plk1","7","-0.318","0.185","-1.726","0.0844","0.268"
"Q8BRK8","AMPKA2","Prkaa2","3","0.392","0.231","1.694","0.0902","0.279"
"Q9Z2A0","PDK1","Pdpk1","6","0.258","0.155","1.666","0.0958","0.284"
"Q60680","IKKA","Chuk","3","-0.627","0.377","-1.664","0.0961","0.284"
"P35546","Ret","Ret","1","0.339","0.211","1.606","0.108","0.313"
"Q9WV60","GSK3B","Gsk3b","11","0.2","0.127","1.578","0.115","0.324"
"Q03145","EphA2","Epha2","2","0.508","0.324","1.566","0.117","0.324"
"P31938","MEK1","Map2k1","3","0.278","0.181","1.534","0.125","0.338"
"P53349","MEKK1","Map3k1","3","0.178","0.119","1.501","0.133","0.352"
"P28867","PKCD","Prkcd","17","0.128","0.086","1.487","0.137","0.352"
"Q9WVS8","ERK5","Mapk7","1","0.381","0.258","1.476","0.140","0.352"
"Q62101","PRKD1","Prkd1","2","0.394","0.269","1.468","0.142","0.352"
"Q9WTU6","JNK2","Mapk9","7","0.139","0.096","1.456","0.145","0.352"
"O70126","AurB","Aurkb","5","0.239","0.164","1.451","0.147","0.352"
"P47811","P38A","Mapk14","22","0.125","0.092","1.354","0.176","0.414"
"P70336","ROCK2","Rock2","2","0.227","0.173","1.316","0.188","0.434"
"P14234","FGR","Fgr","1","0.341","0.271","1.257","0.209","0.465"
"P41241","CSK","Csk","1","0.341","0.271","1.257","0.209","0.465"
"Q8C050","MSK1","Rps6ka5","10","0.114","0.093","1.217","0.223","0.484"
