"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q62120","JAK2","Jak2","4","-0.739","0.171","-4.324","0.0000154","0.00134"
"P35991","Btk","Btk","1","-1.341","0.322","-4.159","0.0000319","0.00134"
"Q00342","FLT3","Flt3","1","-1.341","0.322","-4.159","0.0000319","0.00134"
"Q8CIN4","PAK2","Pak2","8","-0.54","0.139","-3.879","0.000105","0.00331"
"P20444","PKCA","Prkca","24","-0.383","0.108","-3.558","0.000374","0.00942"
"Q9Z1M4","P70S6KB","Rps6kb2","2","-0.517","0.147","-3.509","0.000450","0.00945"
"P23298","PKCH","Prkch","3","-0.323","0.098","-3.289","0.00101","0.0128"
"P06803","Pim1","Pim1","2","-0.259","0.08","-3.259","0.00112","0.0128"
"P58750","Pim3","Pim3","2","-0.259","0.08","-3.259","0.00112","0.0128"
"P68181","PKACB","Prkacb","2","-0.259","0.08","-3.259","0.00112","0.0128"
"Q62074","PKCI","Prkci","2","-0.259","0.08","-3.259","0.00112","0.0128"
"Q9R078","AMPKB1","Prkab1","2","1.051","0.327","3.213","0.00132","0.0138"
"P15208","INSR","Insr","1","-0.692","0.229","-3.021","0.00252","0.0227"
"Q64434","Brk","Ptk6","1","-0.692","0.229","-3.021","0.00252","0.0227"
"P05132","PKACA","Prkaca","53","-0.249","0.083","-2.996","0.00274","0.0230"
"P28867","PKCD","Prkcd","17","-0.267","0.09","-2.972","0.00296","0.0233"
"Q60823","Akt2","Akt2","9","-0.348","0.12","-2.903","0.00369","0.0274"
"P31750","Akt1","Akt1","25","-0.245","0.09","-2.734","0.00626","0.0420"
"P05480","Src iso1","Src","3","-0.624","0.229","-2.73","0.00633","0.0420"
"Q07832","PLK1","Plk1","4","-0.596","0.227","-2.628","0.00860","0.0541"
"Q02956","PKCZ","Prkcz","9","-0.288","0.111","-2.601","0.00930","0.0558"
"Q9WVC6","SGK1","Sgk1","2","-0.795","0.312","-2.545","0.0109","0.0626"
"Q99MK8","GRK2","Adrbk1","2","-1.749","0.707","-2.474","0.0134","0.0724"
"Q8BSK8","p70S6K","Rps6kb1","7","-0.326","0.133","-2.463","0.0138","0.0724"
"P41241","CSK","Csk","1","-1.21","0.512","-2.362","0.0182","0.0917"
"O08605","Mnk1","Mknk1","1","-0.796","0.35","-2.277","0.0228","0.106"
"O54992","MAPKAPK5","Mapkapk5","1","-0.796","0.35","-2.277","0.0228","0.106"
"Q62101","PRKD1","Prkd1","9","-0.278","0.127","-2.188","0.0287","0.129"
"Q5EG47","AMPKA1","Prkaa1","11","-0.302","0.141","-2.136","0.0326","0.140"
"P49615","CDK5","Cdk5","11","-0.288","0.135","-2.128","0.0334","0.140"
"Q60670","SIK","Sik1","3","-0.717","0.34","-2.111","0.0348","0.141"
"P11798","CAMK2A","Camk2a","5","-0.336","0.161","-2.081","0.0374","0.141"
"O70126","AurB","Aurkb","3","-0.336","0.162","-2.078","0.0377","0.141"
"P30285","CDK4","Cdk4","2","-0.457","0.221","-2.074","0.0381","0.141"
"Q8R3L8","CDK8","Cdk8","3","-0.208","0.101","-2.061","0.0393","0.142"
"P0C605","PKG1 iso2","Prkg1","3","-0.452","0.222","-2.036","0.0417","0.146"
"Q61036","PAK3","Pak3","3","-0.612","0.305","-2.005","0.0449","0.153"
"P68404","PKCB iso2","Prkcb","11","-0.196","0.099","-1.983","0.0474","0.157"
"Q8BRK8","AMPKA2","Prkaa2","3","-0.456","0.232","-1.962","0.0498","0.161"
"O54949","NLK","Nlk","1","-0.183","0.097","-1.884","0.0596","0.179"
"Q62406","IRAK1","Irak1","1","-0.183","0.097","-1.884","0.0596","0.179"
"Q9WUN2","TBK1","Tbk1","1","-0.183","0.097","-1.884","0.0596","0.179"
"Q01279","EGFR","Egfr","2","-0.437","0.237","-1.843","0.0654","0.191"
"Q02111","PKCT","Prkcq","3","-0.239","0.132","-1.816","0.0694","0.195"
"Q8C050","MSK1","Rps6ka5","7","-0.2","0.11","-1.814","0.0696","0.195"
"Q9WV60","GSK3B","Gsk3b","8","-0.23","0.128","-1.803","0.0714","0.196"
"P18653","p90RSK","Rps6ka1","17","-0.197","0.112","-1.765","0.0776","0.208"
"Q3UYH7","GRK3","Grk3","1","-0.905","0.53","-1.708","0.0876","0.229"
"Q99N57","RAF1","Raf1","3","-0.244","0.143","-1.701","0.0889","0.229"
"Q8C078","CAMKK2","Camkk2","2","-0.379","0.225","-1.685","0.0919","0.232"
"Q62073","TAK1","Map3k7","1","-0.841","0.511","-1.647","0.0995","0.236"
"P08103","Hck","Hck","1","-0.349","0.213","-1.64","0.101","0.236"
"P52332","JAK1","Jak1","1","-0.349","0.213","-1.64","0.101","0.236"
"Q8CBF3","EphB1","Ephb1","1","-0.349","0.213","-1.64","0.101","0.236"
"P16054","PKCE","Prkce","10","-0.173","0.109","-1.586","0.113","0.258"
"Q9WUA6","Akt3","Akt3","4","-0.166","0.108","-1.531","0.126","0.273"
"P47810","Wee1","Wee1","1","-0.325","0.214","-1.522","0.128","0.273"
"P70424","HER2","Erbb2","1","-0.325","0.214","-1.522","0.128","0.273"
"Q66JT0","WEE1B","Wee2","1","-0.325","0.214","-1.522","0.128","0.273"
"Q07174","Cot","Map3k8","2","-0.301","0.205","-1.471","0.141","0.297"
"P97477","AurA","Aurka","1","-0.495","0.346","-1.432","0.152","0.314"
"P63085","ERK2","Mapk1","53","-0.108","0.076","-1.424","0.155","0.314"
"Q8VBY2","CAMKK1","Camkk1","1","-0.371","0.266","-1.397","0.162","0.320"
"Q91YS8","CAMK1A","Camk1","1","-0.371","0.266","-1.397","0.162","0.320"
"Q923T9","CAMK2G","Camk2g","2","-0.262","0.189","-1.389","0.165","0.320"
"Q9QZL0","RIPK3","Ripk3","1","-0.704","0.521","-1.353","0.176","0.336"
"P53349","MEKK1","Map3k1","2","-0.145","0.121","-1.196","0.232","0.435"
"Q9WUI1","P38B","Mapk11","3","-0.139","0.118","-1.177","0.239","0.443"
"P49138","MAPKAPK2","Mapkapk2","9","-0.181","0.16","-1.132","0.258","0.463"
"Q63844","ERK1","Mapk3","33","-0.087","0.078","-1.124","0.261","0.463"
"Q9WTK7","LKB1","Stk11","1","-0.387","0.346","-1.116","0.265","0.463"
"Q9Z2A0","PDK1","Pdpk1","7","-0.158","0.143","-1.108","0.268","0.463"
"Q9JLN9","mTOR","Mtor","20","-0.124","0.112","-1.103","0.270","0.463"
"Q03145","EphA2","Epha2","1","-0.57","0.519","-1.099","0.272","0.463"
"Q6ZQ29","TAO2","Taok2","2","-0.456","0.42","-1.084","0.278","0.467"
"Q61831","JNK3","Mapk10","4","-0.113","0.11","-1.024","0.306","0.505"
"P70268","PKN1","Pkn1","4","-0.135","0.132","-1.018","0.309","0.505"
"P06240","Lck","Lck","1","0.212","0.213","0.996","0.319","0.509"
"P35546","Ret","Ret","1","0.212","0.213","0.996","0.319","0.509"
"O08911","P38G","Mapk12","1","-0.182","0.211","-0.861","0.389","0.613"
"Q61083","MEKK2","Map3k2","1","0.209","0.253","0.829","0.407","0.633"
"P11440","CDK1","Cdk1","25","-0.086","0.109","-0.787","0.431","0.648"
"Q9R0T8","IKKE","Ikbke","1","-0.092","0.119","-0.776","0.438","0.648"
"P18654","RSK2","Rps6ka3","5","0.11","0.146","0.754","0.451","0.648"
"P47811","P38A","Mapk14","9","-0.095","0.127","-0.751","0.453","0.648"
"O88351","IKKB","Ikbkb","2","-0.273","0.364","-0.751","0.453","0.648"
"O88643","PAK1","Pak1","8","-0.094","0.126","-0.749","0.454","0.648"
"O54784","DAPK3","Dapk3","2","-0.107","0.144","-0.743","0.457","0.648"
"Q80YE7","DAPK1","Dapk1","2","-0.107","0.144","-0.743","0.457","0.648"
"P08414","CAMK4","Camk4","1","0.194","0.271","0.714","0.475","0.660"
"P70335","ROCK1","Rock1","7","-0.105","0.147","-0.711","0.477","0.660"
"P67871","CK2B","Csnk2b","2","-0.171","0.252","-0.681","0.496","0.680"
"P31938","MEK1","Map2k1","3","0.122","0.183","0.669","0.503","0.682"
"P97377","CDK2","Cdk2","15","-0.085","0.13","-0.656","0.512","0.686"
"Q8CFH6","QIK","Sik2","1","-0.337","0.531","-0.635","0.525","0.690"
"Q2NL51","GSK3A","Gsk3a","4","0.149","0.237","0.629","0.529","0.690"
"Q5U4C9","DYRK2","Dyrk2","6","-0.115","0.185","-0.624","0.532","0.690"
"Q6PHZ2","CAMK2D","Camk2d","2","-0.279","0.452","-0.617","0.537","0.690"
"Q8BYR2","LATS1","Lats1","1","0.3","0.521","0.575","0.565","0.719"
"P70336","ROCK2","Rock2","2","-0.096","0.174","-0.553","0.580","0.731"
"P00536","MOS","Mos","1","-0.107","0.196","-0.544","0.586","0.732"
"Q9WTU6","JNK2","Mapk9","6","-0.051","0.098","-0.518","0.605","0.747"
