"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P06803","Pim1","Pim1","3","-0.359","0.069","-5.181","2.21e-7","0.00000730"
"P58750","Pim3","Pim3","3","-0.359","0.069","-5.181","2.21e-7","0.00000730"
"P68181","PKACB","Prkacb","3","-0.359","0.069","-5.181","2.21e-7","0.00000730"
"Q62074","PKCI","Prkci","3","-0.359","0.069","-5.181","2.21e-7","0.00000730"
"P63085","ERK2","Mapk1","66","-0.319","0.07","-4.567","0.00000496","0.000126"
"P31750","Akt1","Akt1","29","-0.379","0.084","-4.537","0.00000571","0.000126"
"O70126","AurB","Aurkb","5","-0.614","0.138","-4.461","0.00000814","0.000151"
"Q8C015","PAK5","Pak7","1","-0.376","0.085","-4.437","0.00000913","0.000151"
"Q9JLN9","mTOR","Mtor","24","-0.46","0.105","-4.373","0.0000123","0.000180"
"Q8C050","MSK1","Rps6ka5","9","-0.409","0.094","-4.332","0.0000147","0.000195"
"P28867","PKCD","Prkcd","19","-0.362","0.084","-4.299","0.0000172","0.000206"
"P20444","PKCA","Prkca","34","-0.398","0.097","-4.109","0.0000398","0.000412"
"Q9QZR5","HIPK2","Hipk2","3","-0.675","0.164","-4.104","0.0000406","0.000412"
"Q63844","ERK1","Mapk3","42","-0.296","0.073","-4.055","0.0000501","0.000453"
"P23298","PKCH","Prkch","5","-0.389","0.096","-4.049","0.0000515","0.000453"
"Q62101","PRKD1","Prkd1","11","-0.471","0.12","-3.927","0.0000862","0.000711"
"P53349","MEKK1","Map3k1","3","-0.53","0.138","-3.829","0.000129","0.000998"
"Q8CIN4","PAK2","Pak2","7","-0.505","0.134","-3.766","0.000166","0.00122"
"Q99N57","RAF1","Raf1","5","-0.429","0.115","-3.732","0.000190","0.00132"
"Q9WUA6","Akt3","Akt3","4","-0.389","0.106","-3.674","0.000238","0.00144"
"O54949","NLK","Nlk","1","-0.343","0.094","-3.659","0.000253","0.00144"
"Q62406","IRAK1","Irak1","1","-0.343","0.094","-3.659","0.000253","0.00144"
"Q9WUN2","TBK1","Tbk1","1","-0.343","0.094","-3.659","0.000253","0.00144"
"Q60823","Akt2","Akt2","11","-0.402","0.11","-3.65","0.000262","0.00144"
"P00536","MOS","Mos","1","-0.651","0.191","-3.397","0.000680","0.00341"
"Q9WUI1","P38B","Mapk11","3","-0.392","0.116","-3.388","0.000704","0.00341"
"P31938","MEK1","Map2k1","3","-0.613","0.181","-3.381","0.000723","0.00341"
"P11440","CDK1","Cdk1","30","-0.329","0.097","-3.38","0.000724","0.00341"
"P70335","ROCK1","Rock1","7","-0.485","0.146","-3.318","0.000907","0.00402"
"Q8R3L8","CDK8","Cdk8","3","-0.322","0.097","-3.316","0.000914","0.00402"
"P16054","PKCE","Prkce","11","-0.363","0.11","-3.288","0.00101","0.00429"
"Q9R0T8","IKKE","Ikbke","1","-0.364","0.117","-3.126","0.00177","0.00731"
"Q5U4C9","DYRK2","Dyrk2","6","-0.567","0.184","-3.089","0.00201","0.00804"
"O55222","ILK","Ilk","3","-0.48","0.157","-3.049","0.00230","0.00893"
"P49138","MAPKAPK2","Mapkapk2","11","-0.451","0.152","-2.964","0.00304","0.0115"
"Q9Z2A0","PDK1","Pdpk1","7","-0.412","0.141","-2.912","0.00359","0.0132"
"P11798","CAMK2A","Camk2a","6","-0.433","0.15","-2.88","0.00398","0.0142"
"Q61831","JNK3","Mapk10","4","-0.306","0.108","-2.846","0.00443","0.0154"
"P18653","p90RSK","Rps6ka1","19","-0.281","0.102","-2.756","0.00584","0.0198"
"P06240","Lck","Lck","1","-0.578","0.212","-2.73","0.00634","0.0204"
"P35546","Ret","Ret","1","-0.578","0.212","-2.73","0.00634","0.0204"
"O08911","P38G","Mapk12","1","-0.569","0.21","-2.705","0.00682","0.0212"
"Q9Z1M4","P70S6KB","Rps6kb2","2","-0.392","0.145","-2.702","0.00690","0.0212"
"O54784","DAPK3","Dapk3","2","-0.382","0.143","-2.682","0.00732","0.0215"
"Q80YE7","DAPK1","Dapk1","2","-0.382","0.143","-2.682","0.00732","0.0215"
"Q60737","CK2A1","Csnk2a1","48","-0.296","0.112","-2.628","0.00858","0.0246"
"Q07174","Cot","Map3k8","3","-0.45","0.177","-2.544","0.0110","0.0308"
"Q9WV60","GSK3B","Gsk3b","8","-0.314","0.126","-2.49","0.0128","0.0351"
"O88643","PAK1","Pak1","10","-0.261","0.106","-2.463","0.0138","0.0371"
"Q02956","PKCZ","Prkcz","8","-0.284","0.116","-2.449","0.0143","0.0378"
"P68404","PKCB iso2","Prkcb","13","-0.224","0.093","-2.404","0.0162","0.0420"
"P0C605","PKG1 iso2","Prkg1","2","-0.437","0.184","-2.378","0.0174","0.0436"
"P49615","CDK5","Cdk5","12","-0.319","0.134","-2.376","0.0175","0.0436"
"P47811","P38A","Mapk14","12","-0.252","0.11","-2.28","0.0226","0.0550"
"Q9WVC6","SGK1","Sgk1","3","-0.624","0.274","-2.275","0.0229","0.0550"
"Q9WTU6","JNK2","Mapk9","6","-0.211","0.096","-2.206","0.0274","0.0646"
"Q60700","DLK","Map3k12","2","-0.45","0.21","-2.146","0.0319","0.0731"
"Q64261","CDK6","Cdk6","4","-0.253","0.118","-2.143","0.0321","0.0731"
"P97377","CDK2","Cdk2","19","-0.233","0.111","-2.102","0.0356","0.0796"
"P70268","PKN1","Pkn1","4","-0.266","0.129","-2.057","0.0397","0.0874"
"Q8BSK8","p70S6K","Rps6kb1","8","-0.25","0.123","-2.033","0.0421","0.0910"
"Q9QZL0","RIPK3","Ripk3","1","-1.045","0.52","-2.008","0.0446","0.0951"
"O08605","Mnk1","Mknk1","1","-0.682","0.349","-1.957","0.0504","0.104"
"O54992","MAPKAPK5","Mapkapk5","1","-0.682","0.349","-1.957","0.0504","0.104"
"Q9WVS8","ERK5","Mapk7","1","-0.479","0.258","-1.855","0.0636","0.129"
"Q3UMW7","MAPKAPK3","Mapkapk3","2","-0.47","0.254","-1.848","0.0646","0.129"
"Q9R078","AMPKB1","Prkab1","2","0.57","0.327","1.745","0.0809","0.157"
"Q07832","PLK1","Plk1","4","-0.394","0.226","-1.743","0.0814","0.157"
"P67871","CK2B","Csnk2b","2","-0.436","0.251","-1.74","0.0818","0.157"
"Q923T9","CAMK2G","Camk2g","2","-0.306","0.188","-1.631","0.103","0.194"
"Q91Y86","JNK1","Mapk8","9","-0.153","0.095","-1.608","0.108","0.201"
"Q01279","EGFR","Egfr","2","-0.362","0.23","-1.573","0.116","0.208"
"Q62120","JAK2","Jak2","4","-0.257","0.166","-1.55","0.121","0.208"
"P47810","Wee1","Wee1","1","-0.329","0.212","-1.547","0.122","0.208"
"P70424","HER2","Erbb2","1","-0.329","0.212","-1.547","0.122","0.208"
"Q66JT0","WEE1B","Wee2","1","-0.329","0.212","-1.547","0.122","0.208"
"Q5EG47","AMPKA1","Prkaa1","11","-0.216","0.14","-1.545","0.122","0.208"
"Q05512","MARK2","Mark2","1","1.542","1","1.542","0.123","0.208"
"P00520","Abl","Abl1","1","-0.526","0.344","-1.528","0.126","0.208"
"P34152","FAK iso2","Ptk2","1","-0.526","0.344","-1.528","0.126","0.208"
"Q6PHZ2","CAMK2D","Camk2d","2","-0.689","0.452","-1.524","0.127","0.208"
"Q62073","TAK1","Map3k7","2","-0.756","0.519","-1.456","0.146","0.234"
"P05132","PKACA","Prkaca","61","-0.109","0.078","-1.389","0.165","0.257"
"Q8VBY2","CAMKK1","Camkk1","1","-0.367","0.265","-1.386","0.166","0.257"
"Q91YS8","CAMK1A","Camk1","1","-0.367","0.265","-1.386","0.166","0.257"
"Q8BRK8","AMPKA2","Prkaa2","3","-0.319","0.231","-1.377","0.169","0.259"
"P70336","ROCK2","Rock2","2","-0.234","0.173","-1.352","0.176","0.267"
"P47809","MKK4","Map2k4","1","-0.475","0.357","-1.33","0.183","0.275"
"P05480","Src iso1","Src","5","-0.36","0.272","-1.324","0.185","0.275"
"Q3UYH7","GRK3","Grk3","1","-0.664","0.529","-1.255","0.210","0.305"
"P08103","Hck","Hck","1","-0.258","0.208","-1.24","0.215","0.305"
"P52332","JAK1","Jak1","1","-0.258","0.208","-1.24","0.215","0.305"
"Q8CBF3","EphB1","Ephb1","1","-0.258","0.208","-1.24","0.215","0.305"
"Q9Z188","DYRK1B","Dyrk1b","1","-0.193","0.157","-1.226","0.220","0.309"
"P41241","CSK","Csk","1","-0.617","0.512","-1.206","0.228","0.316"
"Q2NL51","GSK3A","Gsk3a","5","-0.226","0.206","-1.099","0.272","0.374"
